"","coupleID","day","se_A","pl_A","ac_A","mvpa_A","se_B","pl_B","ac_B","mvpa_B","se_A_lag","se_B_lag","pl_A_lag","pl_B_lag","ac_A_lag","ac_B_lag","mvpa_A_lag","mvpa_B_lag"
"1",1,1,5,5,4.4016343051934,95.7494952474471,2.41536654847549,4.1124605808793,4.46540667322214,23.5573525759361,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,2,4.79659326467902,4.29567557506129,4.20254685457712,92.3282788132382,2.65963376888496,5,2.66639437118659,65.3324821776975,5,2.41536654847549,5,4.1124605808793,4.4016343051934,4.46540667322214,95.7494952474471,23.5573525759361
"3",1,3,4.97523468225528,5,4.98430957615281,99.7583985678453,2.1265232438812,4.71825296759063,2.24264177717509,61.9917600856091,4.79659326467902,2.65963376888496,4.29567557506129,5,4.20254685457712,2.66639437118659,92.3282788132382,65.3324821776975
"4",1,4,3.45161251909304,3.10407598520701,3.93386792512803,96.9609333516008,1.59634001118063,3.53535804345349,2.53412157596846,74.1011330704508,4.97523468225528,2.1265232438812,5,4.71825296759063,4.98430957615281,2.24264177717509,99.7583985678453,61.9917600856091
"5",1,5,3.20276329171765,4.85133114703565,4.64824063365092,109.978091445011,2.23142395820854,4.75706546426417,3.42108360629556,80.0290013170843,3.45161251909304,1.59634001118063,3.10407598520701,3.53535804345349,3.93386792512803,2.53412157596846,96.9609333516008,74.1011330704508
"6",1,6,2.54618359321818,2.65346334825048,4.6013535989121,89.3448444509092,2.62394667614434,4.05465546530135,4.01259985179997,69.3120867900124,3.20276329171765,2.23142395820854,4.85133114703565,4.75706546426417,4.64824063365092,3.42108360629556,109.978091445011,80.0290013170843
"7",1,7,1.93365349982112,2.2956865980104,2.7387173160059,91.8792378000562,2.26911914632849,3.44380028907943,5,101.176667355835,2.54618359321818,2.62394667614434,2.65346334825048,4.05465546530135,4.6013535989121,4.01259985179997,89.3448444509092,69.3120867900124
"8",1,8,1.53070416530189,4.15267439368344,3.64796801118225,85.5245537480375,0.899205885395254,1.47146542955336,3.79728041290359,7.57462484586147,1.93365349982112,2.26911914632849,2.2956865980104,3.44380028907943,2.7387173160059,5,91.8792378000562,101.176667355835
"9",1,9,1.00327900325276,2.18293888557499,3.34743068656436,77.3791579435907,0.133122372101408,1.35706191287428,1.99276687833301,1.39567434093107,1.53070416530189,0.899205885395254,4.15267439368344,1.47146542955336,3.64796801118225,3.79728041290359,85.5245537480375,7.57462484586147
"10",1,10,1.9304585049522,3.73243405447179,3.88665055401309,84.5639281527892,1.14934596949365,2.67084885335318,2.73021635633042,20.1295362072958,1.00327900325276,0.133122372101408,2.18293888557499,1.35706191287428,3.34743068656436,1.99276687833301,77.3791579435907,1.39567434093107
"11",1,11,2.43141763467548,2.94472168659937,2.83509674593949,104.98954224777,1.16270790790238,4.35791687947138,2.95198554177463,45.1384996169493,1.9304585049522,1.14934596949365,3.73243405447179,2.67084885335318,3.88665055401309,2.73021635633042,84.5639281527892,20.1295362072958
"12",1,12,4.27197361039394,4.72123231759082,4.64527219422639,105.136837541429,1.25559041156377,3.05221284498423,2.9910250917959,9.75065095810027,2.43141763467548,1.16270790790238,2.94472168659937,4.35791687947138,2.83509674593949,2.95198554177463,104.98954224777,45.1384996169493
"13",1,13,3.83977077622856,2.27664593046009,3.10897809493252,94.4878356670507,1.24052086129072,2.55865405214152,2.53117839177101,28.3334641505543,4.27197361039394,1.25559041156377,4.72123231759082,3.05221284498423,4.64527219422639,2.9910250917959,105.136837541429,9.75065095810027
"14",1,14,4.20656406396305,3.90335508424475,3.26962163133618,76.2580239109888,1.92830362592942,3.56255065638277,3.55066203601683,27.08527821111,3.83977077622856,1.24052086129072,2.27664593046009,2.55865405214152,3.10897809493252,2.53117839177101,94.4878356670507,28.3334641505543
"15",1,15,3.88777723222008,3.7075941599053,2.66971688337516,89.3516567340035,3.23304137887029,1.26570154669228,3.41190917386155,67.3121894418383,4.20656406396305,1.92830362592942,3.90335508424475,3.56255065638277,3.26962163133618,3.55066203601683,76.2580239109888,27.08527821111
